,CountryName,CountryCode3,Year,FR,Lat,Lon,Region,SubRegion
0,"Korea, Rep.",KOR,2017,1.052, 37, 127.5,Asia,Eastern Asia
1,Puerto Rico,PRI,2017,1.101, 18.25, -66.5,Americas,Latin America and the Caribbean
2,"Hong Kong SAR, China",HKG,2017,1.125, 22.25, 114.1667,Asia,Eastern Asia
3,Singapore,SGP,2017,1.16, 1.3667, 103.8,Asia,South-eastern Asia
4,Moldova,MDA,2017,1.234, 47, 29,Europe,Eastern Europe
5,"Macao SAR, China",MAC,2017,1.338, 22.1667, 113.55,Asia,Eastern Asia
6,Cyprus,CYP,2017,1.338, 35, 33,Asia,Western Asia
7,Spain,ESP,2017,1.34, 40, -4,Europe,Southern Europe
8,Italy,ITA,2017,1.34, 42.8333, 12.8333,Europe,Southern Europe
9,Portugal,PRT,2017,1.36, 39.5, -8,Europe,Southern Europe
10,Malta,MLT,2017,1.37, 35.8333, 14.5833,Europe,Southern Europe
11,Ukraine,UKR,2017,1.374, 49, 32,Europe,Eastern Europe
12,Bosnia and Herzegovina,BIH,2017,1.375, 44, 18,Europe,Southern Europe
13,Greece,GRC,2017,1.38, 39, 22,Europe,Southern Europe
14,Poland,POL,2017,1.39, 52, 20,Europe,Eastern Europe
15,Luxembourg,LUX,2017,1.41, 49.75, 6.1667,Europe,Western Europe
16,Croatia,HRV,2017,1.42, 45.1667, 15.5,Europe,Southern Europe
17,Japan,JPN,2017,1.43, 36, 138,Asia,Eastern Asia
18,Mauritius,MUS,2017,1.44, -20.2833, 57.55,Africa,Sub-Saharan Africa
19,St. Lucia,LCA,2017,1.4480000000000002, 13.8833, -61.1333,Americas,Latin America and the Caribbean
20,Serbia,SRB,2017,1.46, 44, 21,Europe,Southern Europe
21,Thailand,THA,2017,1.4669999999999999, 15, 100,Asia,South-eastern Asia
22,Slovak Republic,SVK,2017,1.48, 48.6667, 19.5,Europe,Eastern Europe
23,Canada,CAN,2017,1.4961, 60, -95,Americas,Northern America
24,Curacao,CUW,2017,1.5,12.1696,-68.99,Americas,Latin America and the Caribbean
25,Austria,AUT,2017,1.53, 47.3333, 13.3333,Europe,Western Europe
26,Hungary,HUN,2017,1.53, 47, 20,Europe,Eastern Europe
27,Switzerland,CHE,2017,1.54, 47, 8,Europe,Western Europe
28,Bulgaria,BGR,2017,1.54, 43, 25,Europe,Eastern Europe
29,Belarus,BLR,2017,1.541, 53, 28,Europe,Eastern Europe
30,North Macedonia,MKD,2017,1.5419999999999998, 41.8333, 22,Europe,Southern Europe
31,Finland,FIN,2017,1.57, 64, 26,Europe,Northern Europe
32,Germany,DEU,2017,1.57, 51, 9,Europe,Western Europe
33,Slovenia,SVN,2017,1.58, 46, 15,Europe,Southern Europe
34,Estonia,EST,2017,1.6, 59, 26,Europe,Northern Europe
35,Armenia,ARM,2017,1.604, 40, 45,Asia,Western Asia
36,Bermuda,BMU,2017,1.61, 32.3333, -64.75,Americas,Northern America
37,Liechtenstein,LIE,2017,1.61, 47.1667, 9.5333,Europe,Western Europe
38,Czech Republic,CZE,2017,1.63, 49.75, 15.5,Europe,Eastern Europe
39,China,CHN,2017,1.631, 35, 105,Asia,Eastern Asia
40,"Iran, Islamic Rep.",IRN,2017,1.636, 32, 53,Asia,Southern Asia
41,Romania,ROU,2017,1.64, 46, 25,Europe,Eastern Europe
42,Montenegro,MNE,2017,1.6580000000000001, 42, 19,Europe,Southern Europe
43,Netherlands,NLD,2017,1.66, 52.5, 5.75,Europe,Western Europe
44,Belgium,BEL,2017,1.68, 50.8333, 4,Europe,Western Europe
45,Lithuania,LTU,2017,1.69, 56, 24,Europe,Northern Europe
46,Norway,NOR,2017,1.71, 62, 10,Europe,Northern Europe
47,Albania,ALB,2017,1.71, 41, 20,Europe,Southern Europe
48,Brazil,BRA,2017,1.7109999999999999, -10, -55,Americas,Latin America and the Caribbean
49,Lebanon,LBN,2017,1.713, 33.8333, 35.8333,Asia,Western Asia
50,Cuba,CUB,2017,1.722, 21.5, -80,Americas,Latin America and the Caribbean
51,United Arab Emirates,ARE,2017,1.7309999999999999, 24, 54,Asia,Western Asia
52,Trinidad and Tobago,TTO,2017,1.739, 11, -61,Americas,Latin America and the Caribbean
53,Iceland,ISL,2017,1.74, 65, -18,Europe,Northern Europe
54,Latvia,LVA,2017,1.74, 57, 25,Europe,Northern Europe
55,"Bahamas, The",BHS,2017,1.758, 24.25, -76,Americas,Latin America and the Caribbean
56,Russian Federation,RUS,2017,1.7619999999999998, 60, 100,Europe,Eastern Europe
57,Australia,AUS,2017,1.765, -27, 133,Oceania,Australia and New Zealand
58,United States,USA,2017,1.7655, 38, -97,Americas,Northern America
59,Chile,CHL,2017,1.766, -30, -71,Americas,Latin America and the Caribbean
60,Costa Rica,CRI,2017,1.768, 10, -84,Americas,Latin America and the Caribbean
61,Denmark,DNK,2017,1.79, 56, 10,Europe,Northern Europe
62,United Kingdom,GBR,2017,1.79, 54, -2,Europe,Northern Europe
63,Aruba,ABW,2017,1.798, 12.5, -69.9667,Americas,Latin America and the Caribbean
64,Barbados,BRB,2017,1.7990000000000002, 13.1667, -59.5333,Americas,Latin America and the Caribbean
